cty,name,kir_rA_gP_pall,kir_rA_gP_pall_l,kir_rA_gP_p100,kir_rA_gP_p100_l,kir_rA_gP_p75,kir_rA_gP_p75_l,kir_rA_gP_p25,kir_rA_gP_p25_l,kir_rA_gP_p1,kir_rA_gP_p1_l,kir_rA_gP_p50,kir_rA_gP_p50_l,kir_rA_gF_pall,kir_rA_gF_pall_l,kir_rA_gF_p100,kir_rA_gF_p100_l,kir_rA_gF_p75,kir_rA_gF_p75_l,kir_rA_gF_p25,kir_rA_gF_p25_l,kir_rA_gF_p1,kir_rA_gF_p1_l,kir_rA_gF_p50,kir_rA_gF_p50_l,kir_rA_gM_pall,kir_rA_gM_pall_l,kir_rA_gM_p100,kir_rA_gM_p100_l,kir_rA_gM_p75,kir_rA_gM_p75_l,kir_rA_gM_p25,kir_rA_gM_p25_l,kir_rA_gM_p1,kir_rA_gM_p1_l,kir_rA_gM_p50,kir_rA_gM_p50_l,kir_rP_gP_pall,kir_rP_gP_pall_l,kir_rP_gP_p100,kir_rP_gP_p100_l,kir_rP_gP_p75,kir_rP_gP_p75_l,kir_rP_gP_p25,kir_rP_gP_p25_l,kir_rP_gP_p1,kir_rP_gP_p1_l,kir_rP_gP_p50,kir_rP_gP_p50_l,kir_rP_gF_pall,kir_rP_gF_pall_l,kir_rP_gF_p100,kir_rP_gF_p100_l,kir_rP_gF_p75,kir_rP_gF_p75_l,kir_rP_gF_p25,kir_rP_gF_p25_l,kir_rP_gF_p1,kir_rP_gF_p1_l,kir_rP_gF_p50,kir_rP_gF_p50_l,kir_rP_gM_pall,kir_rP_gM_pall_l,kir_rP_gM_p100,kir_rP_gM_p100_l,kir_rP_gM_p75,kir_rP_gM_p75_l,kir_rP_gM_p25,kir_rP_gM_p25_l,kir_rP_gM_p1,kir_rP_gM_p1_l,kir_rP_gM_p50,kir_rP_gM_p50_l,kir_rB_gP_pall,kir_rB_gP_pall_l,kir_rB_gP_p100,kir_rB_gP_p100_l,kir_rB_gP_p75,kir_rB_gP_p75_l,kir_rB_gP_p25,kir_rB_gP_p25_l,kir_rB_gP_p1,kir_rB_gP_p1_l,kir_rB_gP_p50,kir_rB_gP_p50_l,kir_rB_gF_pall,kir_rB_gF_pall_l,kir_rB_gF_p100,kir_rB_gF_p100_l,kir_rB_gF_p75,kir_rB_gF_p75_l,kir_rB_gF_p25,kir_rB_gF_p25_l,kir_rB_gF_p1,kir_rB_gF_p1_l,kir_rB_gF_p50,kir_rB_gF_p50_l,kir_rB_gM_pall,kir_rB_gM_pall_l,kir_rB_gM_p100,kir_rB_gM_p100_l,kir_rB_gM_p75,kir_rB_gM_p75_l,kir_rB_gM_p25,kir_rB_gM_p25_l,kir_rB_gM_p1,kir_rB_gM_p1_l,kir_rB_gM_p50,kir_rB_gM_p50_l,kir_rW_gP_pall,kir_rW_gP_pall_l,kir_rW_gP_p100,kir_rW_gP_p100_l,kir_rW_gP_p75,kir_rW_gP_p75_l,kir_rW_gP_p25,kir_rW_gP_p25_l,kir_rW_gP_p1,kir_rW_gP_p1_l,kir_rW_gP_p50,kir_rW_gP_p50_l,kir_rW_gF_pall,kir_rW_gF_pall_l,kir_rW_gF_p100,kir_rW_gF_p100_l,kir_rW_gF_p75,kir_rW_gF_p75_l,kir_rW_gF_p25,kir_rW_gF_p25_l,kir_rW_gF_p1,kir_rW_gF_p1_l,kir_rW_gF_p50,kir_rW_gF_p50_l,kir_rW_gM_pall,kir_rW_gM_pall_l,kir_rW_gM_p100,kir_rW_gM_p100_l,kir_rW_gM_p75,kir_rW_gM_p75_l,kir_rW_gM_p25,kir_rW_gM_p25_l,kir_rW_gM_p1,kir_rW_gM_p1_l,kir_rW_gM_p50,kir_rW_gM_p50_l,kir_rH_gP_pall,kir_rH_gP_pall_l,kir_rH_gP_p100,kir_rH_gP_p100_l,kir_rH_gP_p75,kir_rH_gP_p75_l,kir_rH_gP_p25,kir_rH_gP_p25_l,kir_rH_gP_p1,kir_rH_gP_p1_l,kir_rH_gP_p50,kir_rH_gP_p50_l,kir_rH_gF_pall,kir_rH_gF_pall_l,kir_rH_gF_p100,kir_rH_gF_p100_l,kir_rH_gF_p75,kir_rH_gF_p75_l,kir_rH_gF_p25,kir_rH_gF_p25_l,kir_rH_gF_p1,kir_rH_gF_p1_l,kir_rH_gF_p50,kir_rH_gF_p50_l,kir_rH_gM_pall,kir_rH_gM_pall_l,kir_rH_gM_p100,kir_rH_gM_p100_l,kir_rH_gM_p75,kir_rH_gM_p75_l,kir_rH_gM_p25,kir_rH_gM_p25_l,kir_rH_gM_p1,kir_rH_gM_p1_l,kir_rH_gM_p50,kir_rH_gM_p50_l,kir_rNA_gP_pall,kir_rNA_gP_pall_l,kir_rNA_gP_p100,kir_rNA_gP_p100_l,kir_rNA_gP_p75,kir_rNA_gP_p75_l,kir_rNA_gP_p25,kir_rNA_gP_p25_l,kir_rNA_gP_p1,kir_rNA_gP_p1_l,kir_rNA_gP_p50,kir_rNA_gP_p50_l,kir_rNA_gF_pall,kir_rNA_gF_pall_l,kir_rNA_gF_p100,kir_rNA_gF_p100_l,kir_rNA_gF_p75,kir_rNA_gF_p75_l,kir_rNA_gF_p25,kir_rNA_gF_p25_l,kir_rNA_gF_p1,kir_rNA_gF_p1_l,kir_rNA_gF_p50,kir_rNA_gF_p50_l,kir_rNA_gM_pall,kir_rNA_gM_pall_l,kir_rNA_gM_p100,kir_rNA_gM_p100_l,kir_rNA_gM_p75,kir_rNA_gM_p75_l,kir_rNA_gM_p25,kir_rNA_gM_p25_l,kir_rNA_gM_p1,kir_rNA_gM_p1_l,kir_rNA_gM_p50,kir_rNA_gM_p50_l
cty27139,"Scott County, MN",37788,37518,50788,43498,39900,38732,33456,34873,29360,31890,36183,36678,34126,37194,41837,44139,35573,38651,31551,33958,28926,30166,33103,35996,41252,37726,66516,42041,44947,38661,34885,36041,28775,34095,39362,37361,37299,39088,45664,48403,37903,40007,29854,29882,24758,24403,33770,34631,33151,36704,40694,45994,33359,37103,26820,28526,22659,24436,29777,32085,41541,41399,51647,50744,42606,42916,32636,30955,26408,23871,37667,37072,25727,28543,43639,40358,30806,33963,19734,26856,12045,21763,25496,30384,22683,30925,32426,46727,25183,37858,18487,29458,14223,24101,22010,33518,28668,26155,54782,35212,34615,30474,19486,24509,8299,19876,27237,27535,37817,39960,44987,48589,38162,40676,31194,30879,26869,25692,34472,35457,33480,37429,40068,46311,33587,37778,27635,28912,24099,24977,30270,32620,42266,42432,51067,50935,42926,43637,34356,32383,28857,25482,38536,38150,33978,33682,52013,45390,37963,37304,27245,30023,19397,23959,32501,33662,28916,30522,46206,35952,32404,32003,21752,28736,15132,26689,26980,30255,42336,36590,62171,53297,47056,42466,36434,31412,28509,19827,41474,37323,33962,30724,110752,48198,39415,34757,13972,19999,37,10043,26321,27309,36287,28718,112778,44455,38742,32624,17348,23287,3419,16872,26941,27406,31704,32128,79335,47640,38046,36363,11757,17253,0,4122,25351,27494
cty51153,"Prince William County, VA",40111,37445,53003,46622,42728,39977,36829,34794,33141,30818,39307,37208,36690,35256,48236,46778,39094,38433,33594,31541,30068,25940,35701,34523,43342,39646,58467,46209,46327,41456,39763,37919,35818,35328,42688,39691,34509,33951,45007,43255,35958,36298,26480,27333,20377,22379,31121,31587,31352,32257,39908,41615,32245,34044,25359,26400,20959,22708,28480,29598,37561,35590,50203,44648,39613,38520,27627,28248,19865,21965,33732,33580,30540,30239,43500,41666,33802,34057,25565,25669,19577,19642,29826,29836,31791,31210,43218,43109,34659,34803,27266,26605,22339,21287,31138,30603,29295,29290,43618,40232,32943,33280,23891,24770,16919,18171,28522,29081,36498,36207,46158,44404,36172,36730,26089,26661,19685,21170,30867,31426,31696,33387,40007,41770,31228,33602,23087,24666,18216,20618,26710,28452,41216,38911,52990,46831,41041,39843,28904,28358,20843,21034,34844,34322,33839,33840,43923,39727,36684,35864,30576,32199,26144,29149,33577,34038,30046,31723,40366,38135,32821,33632,26781,29950,22974,27652,29734,31662,37546,35913,47383,41554,40450,38240,34252,34231,29337,29985,37295,36413,30855,31798,46100,33156,33173,32083,22430,30781,15455,29873,27718,31424,29967,32716,55939,34909,33397,33448,19745,32235,10754,31408,25917,32768,31789,31215,41177,32992,33329,31877,25067,29782,19771,28283,29391,30903
cty09001,"Fairfield County, CT",41474,40810,52748,46622,41688,41031,35329,36650,31335,33294,38010,38689,40496,40863,51519,47309,40615,41181,34361,36120,30386,32085,36748,38308,42473,40755,53731,45902,42747,40904,36408,37181,32476,34449,39272,39049,37492,38454,48677,49060,37729,39064,26781,27091,19765,20516,32119,32731,35541,38058,44669,49010,35267,37869,27174,27516,22038,22572,30821,31805,39435,38834,53008,48925,40221,40325,26371,26761,17404,18478,33417,33770,26809,26812,40887,38732,31574,31778,23451,23928,17549,18277,27667,27839,28311,28258,40470,40195,32517,32884,25471,25481,20746,20659,29175,29104,25307,25347,41726,37360,30799,30689,21318,22338,14204,15926,26184,26583,41700,42973,49156,49449,39705,40968,30587,30608,24950,25126,34859,35442,38657,42355,44608,49032,36814,39921,29927,30811,25890,26827,32953,34594,44883,43567,54455,49746,42690,42149,31057,30216,23481,22753,36717,36364,30676,30578,46659,43812,35776,35327,26835,27552,20247,20984,31244,31460,29493,29210,45534,42822,34331,33478,25735,26042,20304,21354,29932,29503,31861,31905,47486,43663,37157,36988,27944,29150,20381,20671,32492,33408,25834,24858,34012,30486,27236,26689,21140,22038,17164,18772,24147,24345,24011,24781,39323,41967,25669,29165,15872,18721,9501,11896,20250,23341,27803,25141,27946,26182,27693,25515,27416,24256,27240,23349,27561,24931
cty48139,"Ellis County, TX",34589,30080,32644,17398,34103,27854,35114,36817,35784,44499,34678,32549,34762,23062,30152,15667,34194,22376,36969,28521,38839,33611,35884,25832,34059,36470,32729,26561,33558,34954,34141,42058,34522,48112,33871,38384,29969,31022,44482,44607,34248,35587,23402,24071,16415,17666,28746,29559,25621,27192,38264,42565,28952,31539,20411,20325,15092,15021,24298,25050,34117,34714,50944,47008,39328,39600,26300,27578,17833,20233,32948,33802,22374,23911,35193,38063,27666,30338,20878,21540,16017,15319,24409,25936,21564,22580,35613,36505,27544,28549,20140,20237,15299,14971,24047,24323,23189,25196,33775,39918,27431,32263,21727,22827,17350,15587,24654,27617,32651,33600,44351,44258,35024,36190,25404,25573,19275,19762,29977,30608,27479,29520,37087,42202,29210,32098,21765,20978,17333,16006,25083,25709,37654,37594,52199,46618,40694,40282,28850,29828,20969,23220,34655,35250,27892,29639,42879,41986,33325,34341,25143,27220,19076,21189,29199,30806,24590,24915,39385,39786,29672,30146,21760,22229,16787,17247,25647,25933,31078,34269,46177,44166,36786,38590,28278,32062,21294,25123,32480,35599,31120,26935,69547,47216,38034,32089,19214,15142,7411,3712,28430,23500,32714,24093,70272,42706,37520,28201,21716,16407,11274,8712,28801,21596,30283,29001,63474,44294,37545,33541,16884,14586,4317,1686,27674,24715
cty02185,"North Slope Borough, AK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24889,26280,35771,29778,27189,27122,17453,23455,11523,21410,22256,25212,23524,26262,34985,34270,25951,28206,17550,21780,12524,18672,21355,24486,26224,26347,37088,27014,28692,26480,17645,25505,10756,24901,23381,26018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32974,36942,37329,34014,33367,36175,29081,39306,26369,41064,31119,37800,24046,32721,29337,27299,24266,31061,19396,35412,16541,37412,21559,33556,37122,40562,41642,40886,37812,41141,33251,41611,30226,41919,35511,41363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24032,25632,43179,33053,27821,27258,14599,20167,6208,15293,21030,23686,23902,25783,47427,37999,27690,28098,14327,19861,5418,14388,20253,23505,24144,25528,37780,29991,27222,26998,15750,21316,8781,17241,21737,24373
cty48209,"Hays County, TX",36714,31855,56106,42425,39515,33363,30441,25988,24613,20087,34271,29464,34381,27787,41494,30127,36576,28890,33394,27759,31328,26820,34619,28256,37821,34403,63150,51398,40700,35836,29527,25040,22393,16852,34581,30489,30158,30625,43832,40682,33935,33964,23378,25089,16573,20137,28582,29327,26312,27902,38445,38915,29154,30832,20645,22450,15325,18388,24517,25978,33797,33211,49230,42263,38422,36868,25963,27591,17837,21881,32339,32431,23741,24615,62328,47480,35913,33646,18040,19024,5631,8986,27306,26327,22603,23505,44908,37809,31025,29016,18950,19876,11246,14148,25325,24370,24927,25368,77885,54742,38350,36974,17239,18459,1984,4770,27989,27828,33361,33414,43162,40638,34678,34772,25837,26804,20203,22446,30040,30590,29088,30488,37225,38987,29925,31707,23054,23564,18941,19871,26113,27021,37468,36333,49988,42193,39377,37771,28031,30067,20423,25161,33617,34091,27174,28138,45285,39437,33643,32391,23865,25689,16644,19987,28716,29075,23550,25508,41661,38819,29769,30022,20175,22770,14309,18195,24891,26161,30607,30633,49213,39663,37537,34615,27350,28492,18984,21821,32375,31837,23203,32368,1923,62655,17005,38677,31256,17500,40815,3378,24278,27923,20503,24358,2043,52580,17990,30861,30171,14897,38606,4333,24714,21883,25209,39243,12147,76001,21734,48256,32539,20168,39595,1848,26897,34515
cty48491,"Williamson County, TX",42515,38247,50904,42538,43792,38862,39521,35849,36854,33508,41317,37259,41148,37939,53086,43577,42871,38747,37128,34583,33524,31221,39305,36394,43904,38588,49277,41074,44966,38977,42211,37331,40487,36101,43465,38163,32632,32926,43442,42895,34682,35403,25345,25704,19306,20308,29934,30320,28466,30145,38320,40775,30016,32159,22439,23343,17611,19063,25884,27046,36712,35673,48528,44979,39176,38619,28325,28007,21303,21513,33856,33515,27290,28533,40307,40692,31149,32949,23124,24327,17298,18122,27291,28620,27688,28522,43223,43038,32303,33465,22766,23958,16408,17768,27788,28613,26874,28550,37465,38960,30003,32562,23405,24660,18308,18529,26786,28665,34517,35012,43228,42818,35356,36145,27172,27251,21982,22406,31055,31465,29420,31822,37044,39942,29988,32578,23346,24405,19369,20700,26302,27870,39536,38179,49573,45723,40589,39762,30948,29804,24598,23496,35679,34978,29618,29882,43815,41923,33691,33606,25093,25838,18720,19235,29355,29757,26779,26755,41932,40883,30919,30731,22101,22454,16557,17243,26431,26325,32533,33050,45734,42540,36533,36481,28150,29289,21262,21503,32294,33200,31151,29226,48296,38895,34187,31560,22772,22828,15365,16700,28385,27155,23593,27664,48190,43632,27816,30620,14127,20176,4987,13273,20189,24800,39914,30660,53013,37381,43353,33242,34640,25611,29419,20097,39083,29699
cty06055,"Napa County, CA",38440,36826,54113,44523,40216,37973,32401,32751,27429,28700,35697,35186,36366,37065,41521,45623,37167,38374,34344,32294,32514,27363,35433,34927,40534,36588,76917,42780,43450,37488,30034,33445,21612,30449,36031,35478,32278,32485,45315,42223,35139,35342,24479,26385,17594,21411,29717,30647,28781,30285,41493,41905,31091,32884,21763,23746,15873,19310,26006,27581,35588,34612,49058,42497,38904,37545,27196,29046,19586,23851,33174,33468,29704,26338,38964,30551,32023,27471,25929,23901,21500,21335,29087,25681,27487,28517,33743,38574,29144,31629,24934,24512,22112,19869,27149,27999,31715,24621,46253,26955,35395,25272,26493,23129,19647,21473,31022,24218,35059,34747,44992,42238,35925,35968,26654,27568,20772,22997,31048,31549,31012,32447,40246,40727,31631,33277,23666,25062,18895,21343,27207,28542,39015,37018,49850,43634,40086,38631,29647,30045,22712,24593,34774,34519,31106,33034,45602,41042,35921,35818,27885,30915,21984,26825,31845,33374,27603,30018,45455,42607,33119,33883,23586,26939,17560,22574,28256,30167,34417,36013,46199,39949,38696,37636,31903,34797,26438,31776,35242,36346,25387,34203,34417,55317,27601,40763,21479,26772,17477,17130,24499,33551,23291,24656,5599,55779,20742,32837,32055,16722,39987,6121,26981,23838,26521,43241,48817,46991,32141,44390,15524,39863,5332,36802,24224,42243
cty26037,"Clinton County, MI",39876,32152,55807,50542,41619,34670,33859,22743,28982,13468,37121,28370,35297,30208,55815,49358,37430,32377,27436,18356,20866,7131,31277,24543,47461,34387,54767,52958,50143,37110,47273,26416,45515,18322,48568,31794,33846,34323,45618,46984,35225,36355,24369,23137,17361,15852,29703,29433,29363,30093,42308,44456,30473,31872,19871,19251,13385,13413,24698,24570,38105,38419,49321,49078,39663,40614,28598,27312,21457,19209,34230,34178,27028,24814,42868,35703,30313,28200,19407,19532,11847,13579,25083,23864,23230,21288,40731,27039,27021,22978,14759,18699,6847,15992,21147,20792,30963,27047,44352,40298,33783,31166,24910,19867,18063,11488,29443,25617,34324,34990,45612,46846,35496,36766,25196,23861,18639,16821,30088,29983,29651,30745,41764,43914,30627,32331,20349,19733,14393,14235,24933,25097,38781,39066,49932,49298,40105,40993,29611,27853,22638,19499,34764,34652,30365,29387,60344,44585,35410,32679,17981,21693,5639,12673,26640,27257,27248,25027,52379,44995,31566,29228,16380,16610,7226,9077,23827,22494,33505,34597,66280,43789,38757,36716,19870,28423,4906,19422,29227,32932,30979,22499,49550,41387,34696,29541,22875,15540,15216,6097,28683,22445,26710,21044,70679,28218,32651,23284,13547,19122,1226,16320,22043,20954,,25677,,53672,,36982,,11126,,0,,24833
cty53005,"Benton County, WA",40476,35427,47684,37760,40956,35743,36770,34044,34107,32711,38546,34842,37496,33454,45815,36717,38184,33902,33451,31382,30401,29301,35267,32486,43454,38031,49569,38504,43737,38133,40085,37837,37809,37613,41742,37986,31082,30722,42150,40343,33077,33341,23245,24053,16897,18864,28095,28495,24816,26533,34729,37304,26248,28875,18354,20013,13590,15800,21935,23746,37176,34750,50435,43471,39782,37688,27778,27865,20011,21835,33889,32978,27007,23883,36707,33144,29146,27267,22382,20442,17481,15633,25898,23852,24625,24963,34705,40681,26404,29876,18755,18800,13884,11953,22785,24247,29898,22907,39676,27231,32504,24786,26270,21663,21463,19255,29456,23248,31875,31622,42636,40984,33239,33623,23341,23607,17038,18100,28066,28389,25013,27007,34284,37464,25756,28818,17594,18977,13023,14689,21215,23164,38572,36081,51802,44385,40369,38313,28513,27993,20604,21373,34329,33377,28313,29165,40509,36777,32491,32019,25500,27439,20316,23563,28968,29751,23968,25571,37758,34186,28398,28488,20693,23710,15899,20693,24479,25941,32548,32730,43123,39595,36389,35735,30090,31040,24955,25988,33203,33598,23332,26360,40696,37103,27436,30111,15792,21687,8523,15823,21492,25868,21386,26138,47025,39307,25229,29851,10487,22073,1054,16745,16931,25513,24646,26330,36926,34362,28664,29786,19640,21159,14090,15057,24385,25802
cty20091,"Johnson County, KS",39272,36243,52805,43588,39986,37237,32628,32132,27945,28152,35736,34514,38253,35808,49295,45523,38879,37020,32709,29893,28744,24040,35068,32990,40306,36653,56375,41533,41050,37389,32593,34180,27272,31801,36422,35797,36840,37133,45280,45213,36354,37119,27040,26904,21057,21261,31596,31744,32560,35150,39899,44352,31804,34552,24517,24872,19855,20183,27821,28924,41111,39084,51260,46077,40865,39593,29329,28937,21943,22460,35178,34451,30599,28705,40614,38732,32890,32137,26182,24704,21310,19353,29655,28407,31382,29162,41123,37035,33653,31595,27086,25990,22703,22344,30531,28735,29852,28306,40086,40144,32149,32731,25255,23629,19928,16597,28781,28246,37612,38137,45716,45548,36714,37598,27593,27305,21834,21718,31906,32164,32899,35885,40088,44527,31861,34831,24256,24484,19700,19802,27634,28860,42382,40354,52156,46496,41571,40316,30680,30101,23530,23655,36004,35399,33134,32831,42127,40390,34333,34227,27650,28425,22726,23529,30954,31346,29832,31045,38665,40740,30771,32418,24360,25680,20297,21428,27501,28820,36674,34808,46270,40259,38232,36190,30963,31260,25088,25963,34538,33943,29205,28850,48942,43805,32506,33401,19129,21442,10738,13298,25730,27368,24659,26727,39168,51107,26462,31881,17308,17522,11388,8098,21429,23872,33204,30457,57908,38578,37459,33850,19855,25197,9099,18945,29044,29831
cty25017,"Middlesex County, MA",41423,40029,57316,48379,43522,41594,36151,36413,31588,32470,39230,38817,41154,39646,55979,46687,43217,41086,36382,36417,32119,32685,38962,38437,41665,40392,58747,50190,43832,42073,35915,36395,31059,32293,39467,39223,39100,39807,50139,48899,39591,40479,29315,30396,22828,24963,34290,35118,36036,38548,45830,48093,36061,38628,27761,29746,22513,25549,31494,33411,42129,41036,54863,49617,43088,42349,30815,31024,23108,24298,36984,36832,32065,32135,45526,41737,36391,35928,28823,29546,23396,25027,32713,32699,32800,33199,45521,41125,36936,36199,29700,31255,24941,28102,33467,33655,31346,31101,45289,42461,35807,35786,27965,27788,21966,21640,31949,31816,40470,41438,50664,49346,40066,41075,30074,30954,23893,25609,34749,35676,36814,39920,46068,48496,36160,39103,27534,29632,22426,25458,31334,33575,44166,42932,55826,50108,43987,43099,32552,32131,25222,25373,38084,37764,31372,32583,45405,43411,35356,36118,26988,29418,20819,23804,31118,32777,29266,31401,42066,43672,32658,34833,25196,27874,20473,23518,28849,31102,33563,33768,48883,42824,38186,37408,28832,30987,21197,24109,33433,34471,33114,27960,53205,36061,36477,30289,23883,23327,15705,18418,30040,26778,26835,29839,42557,49598,27671,33324,17138,21103,10299,12988,21884,26504,38692,26562,76358,29456,45720,27799,26983,24670,15626,22411,36389,26350
cty13067,"Cobb County, GA",38393,34390,52686,40936,40928,35921,34166,31800,29897,28570,37020,33729,37335,33426,53211,38885,39877,34675,32428,30947,27659,27874,35266,32578,39394,35245,52231,43377,41852,37097,35725,32342,31900,28807,38504,34732,32395,31438,44041,42986,33841,34068,22970,22456,15989,16036,28331,28013,29055,30268,38408,42194,29763,32139,21867,21925,16855,16997,25458,26223,35709,32560,50274,43584,37999,35973,24005,22991,14962,15052,31186,29800,24243,24088,40421,37238,29993,29763,20807,21207,14326,15176,25586,25482,25295,24981,40589,38848,30777,30607,22016,22131,16193,16643,26636,26295,23169,23209,40227,35772,29226,28936,19545,20279,12426,13822,24516,24683,35420,35464,44159,43512,34782,35270,25089,24321,18908,18311,29700,29530,30636,33571,38239,42536,29808,32814,21890,22178,17175,17375,25419,26697,40332,37298,50993,44408,39899,37685,28235,26251,20432,18868,33968,32234,29445,28192,42799,37899,33377,31622,25306,25598,19322,20473,29307,28643,27306,25890,41185,36671,31032,29275,22877,23119,17723,19232,26879,25996,31549,30438,44397,38568,35681,33849,27620,28088,20975,21798,31614,31239,21588,23270,22333,31583,21642,26221,21024,19645,20620,15150,21328,22905,21751,24906,17686,45980,20598,30517,22720,18306,24168,10314,21765,23710,22149,21688,25866,22539,22967,21963,19771,20879,17751,20101,21445,21460
cty09011,"New London County, CT",35530,37833,44315,49914,36806,40144,31983,32890,28866,27318,34036,36254,34666,38043,51109,48440,36858,40323,28587,33758,23164,28504,31768,36593,36440,37604,38843,51245,36749,39909,35306,32147,34373,26443,35972,36021,33161,34032,46374,46753,35270,36891,23757,24633,16352,17833,29418,30453,30022,31893,42209,46031,31479,34364,21911,22988,15867,17486,26261,27760,36253,36163,51179,47506,39040,39407,25446,26342,16612,18330,32394,33116,26334,23900,43513,36741,32214,29483,22533,21156,15573,15283,27560,25317,27581,24271,41477,35926,32360,29013,24320,21795,18922,17120,28549,25341,25082,23542,46044,37224,32205,29845,20624,20567,12040,13639,26566,25288,34679,35723,46993,47052,35933,37503,24848,25349,17801,18717,30109,31095,30915,33203,42444,46109,31734,34773,21941,22835,16137,17447,26303,27893,38412,38244,52421,47845,40100,40235,27422,27906,18927,20045,33652,34301,26082,27391,39027,39961,30394,32187,22753,24802,17107,18517,26555,28535,24971,25664,39383,40298,29338,30712,21142,22877,16025,17934,25169,26539,27324,29188,38927,39912,31526,33983,24341,26793,18367,18920,27926,30726,28914,32900,46952,48855,32021,37060,19607,24393,11813,15589,25734,30612,26712,35328,42524,50912,28237,38187,18130,29041,11558,22859,22694,33013,30715,31002,52417,45568,36087,36506,20823,20832,11447,9977,28807,29218
cty33011,"Hillsborough County, NH",39580,38523,49344,47798,40491,39045,35130,32345,31732,27165,37401,35459,36832,36512,51875,42348,37994,36780,30051,31957,24891,28016,33094,34054,41995,40579,48024,56181,42962,41615,39723,32405,37692,25705,41198,36974,35023,35866,46841,47635,36325,37728,25525,25579,18566,18857,30813,31331,31560,33411,43085,46104,32395,34657,22960,23521,16953,18128,27242,28188,38400,38311,50896,49140,40104,40781,28037,27663,20245,19686,34172,34428,28568,29400,42457,42150,32584,34121,24090,25303,17912,18965,28495,29684,28502,27916,40398,41013,32010,32422,24560,23737,19558,18079,28479,27993,28590,30661,43496,43097,32803,35586,23721,26632,16732,19722,28369,31144,35849,36678,47315,47696,36819,38085,26375,25972,19756,19378,31316,31688,32174,34131,43123,45769,32812,35034,23483,23711,17903,18590,27628,28502,39482,39228,51968,49487,40748,41179,29159,28077,21461,19761,34838,34851,29258,29757,42485,43310,33089,34567,25012,26508,19021,19673,29018,30566,25978,27084,41431,45336,30210,32760,21170,22893,15541,16692,25613,27500,32390,32508,43171,41352,35692,36262,28703,30152,22961,23565,32164,33477,29424,24227,63261,36865,34747,28576,15622,18526,3640,11820,25014,23513,28264,29320,63523,47135,31732,33469,14098,22973,2474,15807,21955,27602,29966,21960,83887,32826,40651,26944,15370,15835,742,8204,28462,21773
cty26125,"Oakland County, MI",44457,38140,56019,42824,42313,37811,34837,33737,30166,30576,37974,35642,41479,37807,52667,43035,39473,37488,32034,32706,27258,28817,34871,34783,47587,38436,59690,42485,45307,38141,37761,34801,33189,32330,41127,36483,34319,33976,44655,43479,34265,34620,23267,23160,16194,16795,28686,28637,30477,32145,39861,42309,29989,32081,21024,21696,15401,16694,25103,26067,38085,35748,49843,44598,38434,37113,25385,24524,16883,16755,32066,31101,27779,26139,39063,36006,29927,29520,21838,22069,16019,16744,26045,25790,27970,26315,37834,35208,29881,29092,22683,22698,17865,18538,26478,25837,27583,25964,40343,36697,29991,29955,20917,21472,14130,15027,25575,25787,35587,35718,45374,44341,34892,35401,24170,23608,17343,17151,29274,29222,30977,33456,40006,43008,29997,32514,20660,21047,15196,15922,24824,25925,40132,37907,51402,45605,39684,38257,27425,25936,19199,17992,33458,32374,28345,29558,38795,41255,29781,31894,21773,23043,15906,15590,25760,27522,25635,27516,34841,40074,26656,29459,19842,20719,15633,15316,23188,24810,31132,31596,42890,41994,33001,34430,23654,25386,15946,15555,28317,30333,25855,26747,35702,38593,27523,29443,20190,18440,15477,11084,23808,23903,23965,25371,37871,39270,26287,26671,17900,16242,12477,9457,21680,20817,27335,28200,35669,39405,29134,32739,21988,20499,17429,12013,25742,27082
cty27163,"Washington County, MN",40350,36579,52241,40961,40787,37166,34154,34030,29962,31587,36956,35499,39628,36567,46705,40886,39856,37084,35642,33735,32940,31007,37259,35194,41244,36568,62096,40615,42708,37106,32975,34370,26923,32337,37351,35751,38431,38969,47229,46647,38134,39078,28888,29709,23013,24619,33384,34116,34159,36407,42201,44716,33597,36276,26008,28008,21167,24052,29441,31446,42772,41532,52944,48757,42704,42112,31669,31598,24753,25358,37229,36997,32663,29747,50659,38195,35585,32643,23744,26386,15256,21893,29860,29498,32092,30148,50394,35712,34899,31974,22409,28107,14243,25605,28972,29997,33136,29348,51422,40611,36205,33369,24470,24522,15524,17667,30439,29004,39078,39852,47394,47196,38596,39868,29885,30606,24464,25680,33978,34945,34544,37030,42192,45176,33901,36675,26393,27712,21914,23707,29718,31475,43712,42671,53332,49256,43349,43104,33267,33312,26796,27309,38166,38348,32536,33076,40825,39935,33244,34097,26664,28584,21798,23934,29922,31360,28649,31567,37382,39882,29092,32729,22280,26919,17980,23266,25625,29624,36539,34727,41916,40314,36770,35841,31896,30429,27944,24595,34303,33377,25466,24531,32965,40386,26745,29864,21140,17329,17482,8953,23904,23546,27659,22083,46611,41976,30310,26806,19192,14503,11907,6309,24224,19834,23574,27273,22462,40425,22445,33464,22428,20786,22416,11983,22437,27599
