"geoid","datawrapper_id","geography","name","short_name","latitude","longitude","population","median_hh_income","poverty_rate_total","poverty_rate_deep","poverty_rate_notdeep","snap_rate_total","snap_rate_children","housing_owner_occupied","educ_hs_plus","educ_ba_plus","employment_rate_civilian","race_white","race_black","race_nhpi_amind","race_asian","race_other","race_twoplus","race_hispanic","foreign_born","has_health_insurance","homeless_count_year","homeless_count_age_25_54","homeless_count_age_55_plus","homeless_count_age_unknown","homeless_count_age_under_18","homeless_count_gender_nonconforming","homeless_count_hh_domestic_violence","homeless_count_location_shelter","homeless_count_location_publichotel","homeless_count_location_transitional","homeless_count_location_unsheltered","homeless_count_gender_male","homeless_count_chronic","homeless_count_total_adults","homeless_count_total_children","homeless_count_total_families","homeless_count_total_households","homeless_count_total_individuals","homeless_count_veterans","homeless_count_gender_transgender","homeless_count_gender_women","homeless_count_age_18_24"
"34","34","state","New Jersey","New Jersey",NA,NA,8908520,81740,9.5,4.3,5.3,8.2,12.2,64,90.2,40.8,95.1,54.6,12.8,0.1,9.7,0.5,1.6,20.6,22.8,92.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","35","state","New Mexico","New Mexico",NA,NA,2095428,47169,19.5,9.1,10.3,17.3,28.6,66.2,85.4,27.7,93.9,36.9,1.9,8.9,1.5,0.2,1.4,49.1,9.5,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","36","state","New York","New York",NA,NA,19542209,67844,13.6,6.2,7.4,14.6,19.4,53.7,87.1,37.2,95,55.2,14.3,0.3,8.5,0.5,1.9,19.2,22.8,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","37","state","North Carolina","North Carolina",NA,NA,10383620,53855,14,6.2,7.9,11.6,19.6,65.1,88.2,31.9,95,62.7,21,1.1,2.9,0.2,2.3,9.6,7.9,89.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","38","state","North Dakota","North Dakota",NA,NA,760077,63837,10.7,5.4,5.3,7,11.2,62.5,92.3,29.7,97.2,83.8,3.4,5.2,1.8,0.2,1.9,3.6,4.7,92.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","39","state","Ohio","Ohio",NA,NA,11689442,56111,13.9,6.1,7.7,12.3,19.4,65.9,90.7,29,95.1,78.6,12.2,0.2,2.3,0.2,2.6,3.9,4.8,93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","40","state","Oklahoma","Oklahoma",NA,NA,3943079,51924,15.6,6.9,8.7,12.5,20.4,65.4,88.4,25.6,95.6,65.2,7.2,7.5,2.1,0.2,6.8,10.9,6,85.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","41","state","Oregon","Oregon",NA,NA,4190713,63426,12.6,5.6,7,14.7,21.6,62.5,90.5,34,95,75.1,1.9,1.4,4.5,0.2,3.6,13.3,10.3,92.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","42","state","Pennsylvania","Pennsylvania",NA,NA,12807060,60905,12.2,5.6,6.7,13.4,20.8,68.6,91,31.8,95.1,75.9,10.6,0.1,3.5,0.2,2,7.6,7.2,94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","44","state","Rhode Island","Rhode Island",NA,NA,1057315,64340,12.9,5.6,7.3,15.4,21.5,61.8,89.1,34.4,94.5,71.4,5.8,0.3,3.3,0.8,2.2,15.9,13.2,95.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","45","state","South Carolina","South Carolina",NA,NA,5084127,52306,15.3,6.8,8.5,11.4,20.2,69.3,88.4,28.3,94.7,63.5,26.5,0.4,1.6,0.2,1.9,5.8,5.1,89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","46","state","South Dakota","South Dakota",NA,NA,882235,56274,13.1,6,7.1,8.1,15.6,67.9,92.3,29.2,97,81.5,2.1,8.5,1.7,0,2.3,3.9,4,90.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","47","state","Tennessee","Tennessee",NA,NA,6770010,52375,15.3,6.6,8.7,13,21.6,66.2,87.8,27.5,94.5,73.6,16.6,0.3,1.8,0.2,1.9,5.5,5.1,89.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","48","state","Texas","Texas",NA,NA,28701845,60629,14.9,6.5,8.4,11.9,20.3,61.7,84,30.3,95.1,41.4,11.9,0.3,4.9,0.2,1.6,39.6,17.2,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","49","state","Utah","Utah",NA,NA,3161105,71414,9,4.2,4.8,6.5,9.6,70.5,92.4,34.9,96.8,77.8,1.2,1.8,2.4,0.2,2.3,14.2,8.6,90.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","50","state","Vermont","Vermont",NA,NA,626299,60782,11,4.7,6.3,10.4,13.2,72.2,93.5,38.7,96.2,92.6,1.2,0.3,1.9,0.2,1.9,2,4.9,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","51","state","Virginia","Virginia",NA,NA,8517685,72577,10.7,5.1,5.6,7.9,13.1,65.9,89.9,39.3,95.8,61.3,18.8,0.3,6.5,0.2,3.3,9.5,12.5,91.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","53","state","Washington","Washington",NA,NA,7535591,74073,10.3,4.7,5.5,11.1,16.3,62.8,91.6,36.7,95.7,67.8,3.7,1.8,8.7,0.2,4.8,12.9,14.7,93.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","54","state","West Virginia","West Virginia",NA,NA,1805832,44097,17.8,7.6,10.2,16.6,26.2,72.5,87.8,21.3,94.2,92,3.8,0.2,0.7,0.1,1.7,1.4,1.5,93.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","55","state","Wisconsin","Wisconsin",NA,NA,5813568,60773,11,4.8,6.2,10,16.5,67.1,92.1,30,96.8,81,6.3,0.8,2.8,0.1,2,6.9,5.1,94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","56","state","Wyoming","Wyoming",NA,NA,577737,61584,11.1,5.1,6,5,8.6,70.3,93.3,26.9,96.1,84,0.5,2.7,1,0.1,1.8,10,3,89.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","72","state","Puerto Rico","Puerto Rico",NA,NA,3195153,20296,43.1,23.2,19.9,41.8,50,67.3,77.5,26.7,84.9,1,0.1,0,0.1,0.1,0,98.7,2.7,93.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000100325","5000100325","county subdivision","Addison town, Addison County, Vermont","Addison",44.0585392,-73.3323146,1424,84038,3.3,0.5,2.8,5.9,5,88.4,94.8,36.8,97,96.6,0,0,0,0,1,2.5,3.4,98.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000108575","5000108575","county subdivision","Bridport town, Addison County, Vermont","Bridport",43.9817242,-73.3319365,1316,64875,9.4,3,6.4,9.8,11.4,75.7,93.6,30.5,97.6,92.9,3.2,0,0.7,0,1.6,1.6,4.6,92.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000109025","5000109025","county subdivision","Bristol town, Addison County, Vermont","Bristol",44.0978095,-73.0485314,3914,56066,8.1,6.4,1.8,15.7,26.3,69.7,90.3,27.9,95.4,95,2.1,0,2,0,0,0.9,1.7,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000116000","5000116000","county subdivision","Cornwall town, Addison County, Vermont","Cornwall",43.9629183,-73.2177012,996,81793,2.9,1.7,1.2,3.6,0,80.1,97.5,58.9,97,92.6,0.6,0.8,0.9,0,3.8,1.3,6,95.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000126300","5000126300","county subdivision","Ferrisburgh town, Addison County, Vermont","Ferrisburgh",44.2031331,-73.2791964,2736,74958,3,0.6,2.3,7.1,12.5,79.5,95.1,38.1,95.6,97.6,0,0,0,0,1.1,1.3,2.8,94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000128600","5000128600","county subdivision","Goshen town, Addison County, Vermont","Goshen",43.864713,-72.9901335,134,54750,5.2,0,5.2,10.1,0,94.9,91.8,45.1,93.2,97.8,0,0,0,0,2.2,0,0,95.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000129575","5000129575","county subdivision","Granville town, Addison County, Vermont","Granville",44.0052914,-72.8413144,352,67500,13.6,8,5.7,9.7,17.5,69.5,93.2,30.7,88.8,94.9,0,0.9,1.4,0,1.4,1.4,0.6,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
