geoid,geography,short_name,county,poverty_rate_total,poverty_rate_deep,poverty_rate_notdeep,child_poverty_rate_total,child_poverty_rate_deep,child_poverty_rate_notdeep
5002171050,county subdivision,Sudbury , Rutland County,3.3,0.9,2.3,,,
5000126300,county subdivision,Ferrisburgh , Addison County,3,0.6,2.3,,,
5000116000,county subdivision,Cornwall , Addison County,2.9,1.7,1.2,,,
5000153950,county subdivision,Panton , Addison County,2.9,2,0.9,,,
5000745250,county subdivision,Milton , Chittenden County,2.7,0.7,1.9,,,
5000780350,county subdivision,Westford , Chittenden County,2.5,0.2,2.3,1.1,,1.1
5002756350,county subdivision,Pomfret , Windsor County,2.4,0.8,1.6,,,
5001102500,county subdivision,Bakersfield , Franklin County,2.2,0.6,1.6,3.4,,3.4
5000773975,county subdivision,Underhill , Chittenden County,2.1,0.9,1.2,1.2,0.5,0.7
5001127700,county subdivision,Georgia , Franklin County,2.1,1,1,0.8,,0.8
5001127100,county subdivision,Franklin , Franklin County,2,1.4,0.6,,,
5001124925,county subdivision,Fairfax , Franklin County,1.9,1.5,0.4,0.9,0.9,
5002155450,county subdivision,Pittsfield , Rutland County,1.9,,1.9,2.9,,2.9
5000145550,county subdivision,Monkton , Addison County,1.7,0.8,0.9,0.7,,0.7
5000713300,county subdivision,Charlotte , Chittenden County,1.6,0.3,1.3,,,
5000385075,county subdivision,Winhall , Bennington County,1,0.3,0.7,,,
